Number,Volcano Name,Country,Region,Latitude,Longitude,Elev
50707,Kuwae,Vanuatu,Vanuatu-SW Pacific,-16.829,168.536,-2
170305,Kverkfjoll,Iceland,Iceland-NE,64.65,-16.72,1920
180301,La Palma,Spain,Canary Is,28.58,-17.83,2426
170215,Lakagigar,Sweden,Iceland-NE,64.42,17.33,1725
170210,Lambafit,Iceland,Iceland-S,64.08,-19.4,550
50201,Langila,Papua New Guinea,New Britain-SW Pac,-5.525,148.42,1330
150510,Lascar,Chile,Chile-N,-23.37,-67.73,5592
20212,"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.751,35.902,2890
60418,Lewotobi,Indonesia,Lesser Sunda Is,-8.53,122.775,1703
60419,Lewotobi Perempuan,Indonesia,Lesser Sunda Is,-8.575,122.78,1703
150711,Llaima,Chile,Chile-C,-38.692,-71.729,3125
130200,Loihi,United States,Hawaiian Is,18.92,-155.27,-975
60610,Lokon-Empung,Indonesia,Sulawesi-Indonesia,1.358,124.792,1580
50105,Long Island,Papua New Guinea,New Guinea-NE of,-5.358,147.12,1280
150710,Lonquimay,Chile,Chile-C,-38.377,-71.58,2865
50705,Lopevi,Vanuatu,Vanuatu-SW Pacific,-16.507,168.346,1413
130308,Macdonald,Antarctica,Austral Is-C Pacific,-28.98,-140.25,-50
60611,Mahawu,Indonesia,Sulawesi-Indonesia,1.358,124.858,1324
60807,Makian,Indonesia,Halmahera-Indonesia,0.32,127.4,1357
110131,Makushin,United States,Aleutian Is,53.9,-166.93,2036
50102,Manam,Papua New Guinea,New Guinea-NE of,-4.1,145.061,1807
60114,Marapi,Indonesia,Sumatra,-0.381,100.473,2891
150308,Marchena,Ecuador,Galapagos,0.33,-90.47,343
30407,Marion Island,South Africa,Indian O-S,-46.9,37.75,1230
140410,Masaya,Nicaragua,Nicaragua,11.984,-86.161,635
130202,Mauna Loa,United States,Hawaiian Is,19.475,-155.608,4170
70303,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462
304011,McDonald Islands,Indian Ocean,Indian O-S,-53.03,72.6,186
90010,Medvezhia,Russia,Kuril Is,45.38,148.83,1124
60325,Merapi,Indonesia,Java,-7.542,110.442,2947
40307,Metis Shoal,Tonga,Tonga-SW Pacific,-19.18,-174.87,43
804131,Minami-Hiyoshi,Japan,Volcano Is-Japan,23.507,141.905,-30
80404,Miyake-jima,Japan,Izu Is-Japan,34.08,139.53,815
40205,Monowai Seamount,New Zealand,Kermadec Is,-25.887,-177.188,-100
1900081,Montagu Island,Antarctica,Antarctica,-58.417,-26.333,1370
170208,Mundafell,Iceland,Iceland-S,63.98,-19.7,1491
804211,NW Rota-1,United States,Mariana Is-C Pacific,14.601,144.775,-517
150305,"Negra, Sierra",Ecuador,Galapagos,-0.83,-91.17,1490
140407,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728
40109,Ngauruhoe,New Zealand,New Zealand,-39.158,175.63,2291
1806011,Nightingale Island,United Kingdom,Atlantic-S,-37.417,-12.483,365
80309,Niigata-Yake-yama,Japan,Honshu-Japan,36.92,138.03,2400
60506,Nila,Pacific Ocean,Banda Sea,-6.73,129.5,781
40311,Niuafo'ou,Tonga,Tonga-SW Pacific,-15.6,-175.63,260
1301021,North Gorda Ridge,Pacific Ocean,Pacific-NE,42.67,-126.78,-3000
20302,Nyamuragira,"Congo, DRC",Africa-C,-1.408,29.2,3058
20303,Nyiragongo,"Congo, DRC",Africa-C,-1.52,29.25,3470
40105,Okataina,New Zealand,New Zealand,-38.12,176.5,1111
110129,Okmok,United States,Aleutian Is,53.42,-168.13,1073
80304,On-take,Japan,Honshu-Japan,35.9,137.48,3063
80401,Oshima,Japan,Izu Is-Japan,34.73,139.38,758
