time,id,depth,mag,nst,error
2020-07-22T00:00:39.930Z,uu60402942,3.5,0.49,14,0.34
2020-07-21T23:57:01.845Z,ak0209c44n4u,91.1,1.8,,
2020-07-21T23:55:41.880Z,ci38601850,3.94,1.2,46,0.22
2020-07-21T23:52:16.057Z,us7000asqi,10,4.8,,6.8
2020-07-21T23:39:16.430Z,uw61661241,43.98,3.17,40,0.33
2020-07-21T23:36:05.170Z,ci38601826,5.02,0.76,26,0.3
2020-07-21T23:29:55.900Z,hv72054482,7.15,3.04,54,0.38
2020-07-21T23:26:48.104Z,ak0209c3y3hd,0,1,,
2020-07-21T23:25:54.700Z,nn00761964,0.1,1.9,22,
2020-07-21T23:19:26.410Z,ci38601794,0.28,1.74,24,0.58
2020-07-21T23:17:41.000Z,nc73429196,1.93,0.2,20,0.21
2020-07-21T23:17:01.339Z,ak0209c3w2g9,0,1.1,,
2020-07-21T23:11:14.060Z,ci38601778,10.82,1.15,44,0.23
2020-07-21T23:04:02.800Z,ci38601762,4.67,0.65,7,0.61
2020-07-21T22:47:04.440Z,ci38601746,2.55,1.04,18,0.22
2020-07-21T22:45:56.260Z,nn00761962,3.1,1.1,10,
2020-07-21T22:40:04.150Z,nc73429186,1.92,0.05,14,0.43
2020-07-21T22:39:45.750Z,hv72054432,31.62999916,2.16,53,0.5
2020-07-21T22:37:06.348Z,us7000aspp,10,4.7,,11.7
2020-07-21T22:33:07.550Z,nc73429181,1.22,1.44,12,1.4
2020-07-21T22:28:09.810Z,nc73429176,2.59,1.12,27,0.21
2020-07-21T22:22:42.120Z,ci38601682,11.65,1.3,46,0.19
2020-07-21T22:16:53.775Z,ak0209c3aj5p,40.6,1.1,,
2020-07-21T22:15:02.790Z,nc73429171,2.13,0.56,11,0.38
2020-07-21T22:00:02.380Z,nc73429166,3.22,0.83,30,0.23
2020-07-21T21:59:43.230Z,nn00761957,9.1,1.4,13,
2020-07-21T21:40:11.585Z,us7000asp1,180.98,4.6,,8.3
2020-07-21T21:38:43.146Z,ak0209c2tsgc,101.5,1.3,,
2020-07-21T21:34:39.555Z,ak0209c2sxa5,4,1.6,,
2020-07-21T21:27:25.050Z,nn00761952,6,1.7,16,
2020-07-21T21:23:08.850Z,nn00761950,2.8,0.8,9,
2020-07-21T21:14:50.989Z,ak0209c2onwb,107.6,1.7,,
2020-07-21T21:04:32.215Z,us7000asmw,109.12,4.3,,5.8
2020-07-21T21:03:14.270Z,nn00761941,12.3,1.3,14,
2020-07-21T20:59:34.050Z,nc73429146,5.58,0.63,15,0.39
2020-07-21T20:56:25.082Z,us7000asms,604.96,6,,9.3
2020-07-21T20:51:14.910Z,nn00761939,2.9,1,10,
2020-07-21T20:47:15.260Z,ci38601610,2.24,1.64,24,0.28
2020-07-21T20:46:03.010Z,ci38601602,0.27,1.13,17,0.44
2020-07-21T20:33:54.140Z,nn00761936,7.7,0.7,9,
2020-07-21T20:19:25.196Z,nn00761931,8.1,1.9,28,
2020-07-21T20:17:22.730Z,nc73429136,-2.39,0.01,5,0.95
2020-07-21T20:06:18.650Z,nc73429126,1.07,1.07,18,0.31
2020-07-21T20:05:10.580Z,ci38601506,3.5,1.22,16,0.6
2020-07-21T19:58:55.370Z,ci38601498,3.32,1.55,29,0.49
2020-07-21T19:57:23.229Z,us7000aslc,17.01,2.6,,2.4
2020-07-21T19:47:41.760Z,ci38601458,10.35,1.1,16,0.43
2020-07-21T19:46:06.890Z,nn00761924,11,1.4,15,
2020-07-21T19:32:25.860Z,nc73429101,1.7,1.1,23,0.2
2020-07-21T19:26:00.280Z,nn00761919,6.6,0.9,12,
2020-07-21T19:24:14.589Z,ok2020ogoa,6.41,1.2,43,
2020-07-21T19:21:43.580Z,ci38601394,6.99,0.42,18,0.39
2020-07-21T19:20:35.190Z,ci38601386,12.58,0.59,14,0.63
2020-07-21T19:17:53.381Z,ak0209c1ijn8,162.5,2,,
2020-07-21T19:17:28.680Z,pr2020203001,10,3.2,23,0.35
2020-07-21T19:09:19.957Z,us7000asjy,10,4.2,,6.8
